"ABIDJAN","IVORY COAST","5.5","-4"
"ABILENE","TEX","32.5","-99.7"
"ABU AIL","","27.5","50"
"ACCRA","GHANA","5.5","-.2"
"ADAK IS.","ALASKA","51.8","-176.6"
"ADDIS ABABA","ETHIOPIA","9","39"
"ADELAIDE","AUSTRALIA","-34.9","138.6"
"ADEN","YEMEN","13","45"
"AKRON","OHIO","41.2","-81.5"
"ALAND IS.","","60.2","20"
"ALBANY","NY","42.7","-73.8"
"ALBUQUERQUE","NM","35.1","-106.7"
"ALGIERS","ALGERIA","36.77","3.05"
"ALMA-ATA","KAZAKH","53","76"
"AMARILLO","TEX","35.2","-101.8"
"AMMAN","JORDAN","32","36"
"AMSTERDAM","NETHERLANDS","52.4","4.9"
"ANCHORAGE","ALASKA","61.2","-150"
"ANDAMAN IS.","","10","94"
"ANDORRA","W. EUROPE","42.5","1.5"
"ANGOLA","","-13","16"
"ANGUILLA","B.W.I.","18.3","-63"
"ANKARA","TURKEY","39.9","32.9"
"ANNOBON","","3.5","8.5"
"ANTIGUA","","17","-59.8"
"ASCENSION IS.","","-8","-14"
"ASHKHABAD","TURKOMAN","38","58"
"ASMARA","ETHIOPIA","15","38"
"ASUNCION","PARAGUAY","-25.3","-57.7"
"ATHENS","GREECE","38","23.7"
"ATLANTA","GA","33.8","-84.4"
"ATLANTIC CITY","NJ","39.4","-74.4"
"AUCKLAND","N.Z.","-36.9","174.8"
"AUKLAND IS.","","-52.5","169"
"AVES IS.","","12","-67.5"
"AZORES IS.","N.ATLANTIC","38","-25"
"BAGHDAD","IRAQ","33","44.5"
"BAGOTA","COLOMBIA","4.62","-74.87"
"BAHREIN","","26","50.5"
"BAJO NUEVO","","15.9","-78.7"
"BAKER","PHOENIX ISLES",".5","-176"
"BAKU","AZERBAIJAN","40.83","49.9"
"BALEARIC IS.","","39.5","3"
"BALTIMORE","MD","39.3","-76.6"
"BAMAKO","MALI","13","-8"
"BANGKOK","THAILAND","13.8","100.5"
"BANGOR","MAINE","44.8","-68.8"
"BANGUI","CONGO","4.5","18"
"BARBADOS","","11.5","-59.5"
"BARRIE","ONT","44.4","-79.7"
"BEIRUT","LEBANON","33.9","35.5"
"BELFAST","N.IRELAND","54.6","-5.9"
"BELGRADE","YUGOSLAVIA","44.9","20.5"
"BELIZE","","17.5","-88.3"
"BENIN","","6.3","2.3"
"BERLIN","GERMANY","52.5","13.4"
"BERMUDA","","32.3","-64.7"
"BERN","SWITZERLAND","47","7"
"BHUTAN","S. ASIA","28","90"
"BILLINGS","MONTANA","45.8","-108.5"
"BISSAU","GUINEA","12","-15"
"BOISE","IDAHO","43.6","-116.2"
"BOMBAY","INDIA","18.9","72.82"
"BONN","GERMANY","51","6"
"BOSTON","MASS","42.4","-71.1"
"BOTSWANA","AFRICA","-22","25"
"BOUVET IS.","","-54.5","3"
"BRASILIA","BRAZIL","-16","-48"
"BRAZZAVILLE","CONGO","-4","15"
"BRENTWOOD","NEW YORK","40.8","-73.3"
"BRISBANE","AUSTRALIA","-27.5","153.02"
"BRUNEI","","5","115"
"BRUSSELS","BELGIUM","50.9","4.4"
"BUCHAREST","ROMANIA","44.42","26.1"
"BUDAPEST","HUNGARY","47.48","19.07"
"BUENOS AIRES","ARGENT.","-34.6","-58.48"
"BUFFALO","NY","42.9","-78.9"
"BUKHARA","UZBEK","40","64"
"BURUNDI","","-3","29"
"BUTTE","MONTANA","46","-112.5"
"BYRD STA.","ANTARCTICA","-80","-120"
"CAICOS IS.","","22.0001","-72.0001"
"CAIRO","EGYPT","30","31.4"
"CALAIS","FRANCE","51","1.9"
"CALCUTTA","INDIA","22.6","88.4"
"CALGARY","ALTA","51","-114.1"
"CAMPBELL IS.","","-52.5001","169.0001"
"CANARY IS.","","28","-15"
"CANBERRA","AUSTRALIA","-35.5","149"
"CAPE TOWN","SO.AFRICA","-33.9","18.4"
"CAPE VERDE","","16","-24"
"CARACAS","VENEZUALA","10.5","-67"
"CASABLANCA","MOROCCO","33.7","-7.7"
"CAYENNE","FR.GUIANA","5","-52"
"CAYMAN IS.","","19.5","-81.2"
"CEUTA","","36.7","-5.4"
"CHARLESTON","WEST VA","38.4","-81.6"
"CHARLOTTE","NC","35.2","-80.8"
"CHARLOTTETOWN","PEI","46.2","-63.1"
"CHATHAM IS.","","-44","-176"
"CHEYENNE","WYOMING","41.1","-104.8"
"CHICAGO","ILLINOIS","41.78","-87.6"
"CHIHUAHUA","MEXICO","28.7","-106"
"CHRISTCHURCH","N.Z.","-43.53","172.62"
"CHRISTMAS IS.","","-10.5","105.7"
"CHUNKING","CHINA","29.8","106.5"
"CINCINNATI","OHIO","39.1","-84.5"
"CLEVELAND","OHIO","41.5","-81.7"
"CLIPPERTON","","11","-110"
"COCOS (KEELING) IS.","","-12.2","96.8"
"COLD LAKE","ALBERTA","54.2","-108.7"
"COLOMBO","SRI LANKA","7","79.9"
"COLUMBIA","MO","39","-92.3"
"COLUMBIA","SC","34","-81"
"COLUMBUS","OHIO","40","-83"
"CONAKRY","GUINEA","10","-13"
"CONCORD","NH","43.2","-71.5"
"COPENHAGEN","DENMARK","55.7","12.6"
"CORSICA","","42","9"
"COSTA RICA","","10","-84"
"CRETE","","35.4","25.2"
"CROZET","","-46.5","52"
"CYPRUS","","35","33"
"DAHARAN","SAUDI ARABIA","26.3","50"
"DAKAR","SENEGAL","15","-18"
"DALLAS","TEX","32.8","-96.8"
"DAMASCUS","SYRIA","33.5","36.3"
"DARWIN","AUSTRALIA","-12.5","130.9"
"DENVER","COLORADO","39.7","-105"
"DES MOINES","IOWA","41.6","-93.6"
"DESECHEO IS.","","18.3","-67.5"
"DETROIT","MICHIGAN","42.3","-83"
"DHAKA","BANGLADESH","23.6","90.2"
"DIAMOND HEAD","HAWAII","19.78","-155"
"DIEGO GARCIA","CHAGOS","-7.3","72.4"
"DJIBOUTI","","12","43"
"DODECANESE","","36.5","27.5"
"DOMINICA","","15.4","-61.3"
"DOVER","ENGLAND","51.2","1.4"
"DUBLIN","IRELAND","53.3","-6.3"
"DULUTH","MINNESOTA","46.8","-92.1"
"DUMONT D'URVILLE","","-67","140"
"DUNEDIN","N.Z.","-48","170"
"DURBAN","SO.AFRICA","-29.9","30.9"
"DUXBURY","MA","42.042","-70.673"
"EASTER IS.","S.PACIFIC","-28","-109"
"EDMONTON","ALTA","53.5","-113.5"
"EL PASO","TEX","31.8","-106.5"
"EQUATORIAL GUINEA","","1.8","10"
"ERIVAN","ARMENIA","40.5","44.5"
"FAEROE","","62","-7"
"FAIRBANKS","ALASKA","64.8","-147.9"
"FALKLAND IS.","","-52","-60"
"FANNY BAY","BC","49.5","-124.8"
"FARGO","NORTH DAKOTA","46.9","-96.8"
"FERNANDO DE NORONHA","","-3","-32"
"FIJI IS.","","-17","178"
"FLAGSTAFF","ARIZONA","35.2","-111.7"
"FORT LAMY","CHAD","12","15"
"FRANZ JOSEPH LAND","","80","50"
"FREETOWN","SIERRA LEONE","8.5","-13.2"
"FUNAFUTI","TUVALU","-8.7","178.6"
"GALAPAGOS IS.","","-2","-92"
"GAMBIA","","13","-17"
"GENEVA","SWITZERLAND","46.2","6.2"
"GEORGETOWN","GUYANA","6.8","-58.2"
"GIBRALTAR","","36","-5.5"
"GILLELJE","DENMARK","56.117","12.317"
"GLASGOW","SCOTLAND","55.8","-4.3"
"GLORIOSO IS.","","-10.6","47.3"
"GODTHAAB","GREENLAND","63","-52"
"GOOSE BAY","LABRADOR","51.3","-60.4"
"GRANADA","SPAIN","37.18","-3.6"
"GRAND JUNCTION","COL","39.1","-108.6"
"GRAND RAPIDS","MICHIGAN","43","-85.7"
"GREAT FALLS","MONTANA","47.5","-111.3"
"GREEN BAY","WISCONSIN","44.5","-88"
"GREENWICH","ENGLAND","51.47","0"
"GRENADA","","12","-61.8"
"GUADELOUPE","","17","-62"
"GUAM","","14","145"
"GUANTANAMO BAY","CUBA","20","-75"
"GUATEMALA CITY","GUAT.","14.6","-90.5"
"GUERNSEY","CHANNEL IS.","49.5","-2.7"
"HALIFAX","NS","44.6","-63.6"
"HAMBURG","GERMANY","53.47","9.92"
"HAMILTON","ON","43.3","-79.8"
"HARRISBURG","PA","40.3","-76.9"
"HARTFORD","CONN","41.8","-72.7"
"HAVANA","CUBA","23.1","-82.4"
"HEARD IS.","","-53","73.4"
"HELSINKI","FINLAND","60.2","25"
"HESPELER","ONT","43.45","-80.31"
"HICKSVILLE","N.Y.","40.77","-73.52"
"HILO","HAWAII","19.7","-155.1"
"HOBART","TASMANIA","-42.9","147.3"
"HONG KONG","CHINA","22.3","114.82"
"HONOLULU","HAWAII","21.3","-158.1"
"HORNSBY","AUSTRALIA","-33.7","151.1"
"HOWLAND","PHOENIX ISLES",".5","-176"
"HUANCAYO","PERU","-12.05","-75.33"
"IDAHO FALLS","IDAHO","43.49","-112.03"
"INDIANAPOLIS","INDIANA","39.8","-86.2"
"INDONESIA","","-6","107"
"IRKUTSK","USSR","52.27","104.32"
"ISLE OF MAN","","54","-4.5"
"ISLE OF PALMS","SC","32.7772","-79.827"
"ISTANBUL","TURKEY","41","29.0"
"JACKSON","MISS","32.3","-90.2"
"JACKSONVILLE","FLA","30.3","-81.7"
"JAKARTA","INDONESIA","-6.18","106.83"
"JAMAICA","","18","-76"
"JAN MAYEN","","71","-8"
"JENA","GERMANY","50.93","11.58"
"JERSEY","CHANNEL IS.","49.3","-2.2"
"JERUSALEM","ISRAEL","31.7","35.2"
"JOHANN'SBRG","SO.AFRICA","-26.2","28.1"
"JOHNSTON IS.","","17","-170"
"JUAN DE NOVA IS.","","-21.5","40"
"JUAN FERNANDEZ","","-34","-78"
"JUBA","SUDAN","5","31.6"
"JUNEAU","ALASKA","58.3","-134.4"
"KABUL","AFGHANISTAN","34.5","69.2"
"KALININGRAD","RUSSIA","55","20.5"
"KAMARAN IS.","","15.3","42.8"
"KANDAHAR","AFGHANISTAN","32","65"
"KANSAS CITY","MO","39.1","-94.6"
"KARACHI","PAKISTAN","25","67"
"KATMANDU","NEPAL","27.5","85"
"KERGUELEN IS.","","-50","70"
"KERMADEC IS.","","-30","-178"
